39.107.238.138,9999,54
47.93.120.94,9898,56
47.105.93.205,80,58
47.105.130.231,80,59
47.105.162.113,80,59
47.93.251.94,80,59
47.105.156.158,80,60
47.105.137.113,80,60
47.105.162.93,80,61
47.105.92.176,80,61
47.105.164.228,80,61
47.105.160.1,80,62
47.105.161.254,80,62
47.105.155.117,80,62
47.105.163.172,80,62
47.105.161.88,80,62
47.105.164.129,80,62
47.105.160.82,80,63
47.105.161.29,80,63
47.105.164.191,80,63
47.105.160.141,80,63
47.105.132.35,80,64
47.105.128.60,80,64
47.105.165.6,80,64
47.105.161.191,80,64
47.105.164.157,80,64
47.105.121.78,80,64
47.105.137.243,80,65
47.105.163.53,80,65
47.105.164.126,80,65
47.105.164.110,80,65
47.105.164.73,80,65
47.105.151.161,80,65
47.105.134.205,80,65
47.105.138.123,80,65
47.105.158.82,80,66
47.105.152.111,80,66
47.105.164.231,80,66
47.105.164.39,80,66
47.105.159.74,80,66
47.105.162.40,80,66
47.105.164.160,80,66
47.105.160.117,80,66
47.105.164.177,80,66
47.105.161.103,80,67
47.105.165.66,80,67
47.105.164.244,80,67
47.105.166.22,80,67
47.105.164.173,80,67
47.105.162.36,80,67
106.75.226.36,808,67
47.105.157.228,80,68
47.105.164.245,80,68
47.105.164.63,80,68
47.105.164.12,80,68
47.105.163.231,80,68
47.105.164.184,80,68
47.105.162.201,80,68
47.105.161.64,80,68
47.105.122.17,80,69
47.105.161.10,80,69
47.105.151.245,80,69
47.105.163.176,80,69
47.105.140.46,80,69
47.105.161.83,80,69
47.105.163.142,80,69
47.105.162.138,80,69
47.105.162.194,80,69
47.105.152.15,80,69
118.190.94.254,9001,70
47.105.133.162,80,70
47.105.159.14,80,70
47.105.165.171,80,70
47.105.164.18,80,70
47.105.165.71,80,70
47.105.159.13,80,70
47.104.224.78,80,71
47.105.157.71,80,71
47.105.152.88,80,71
47.105.166.17,80,71
47.105.150.107,80,71
47.105.158.106,80,71
47.105.150.45,80,71
47.105.164.3,80,71
47.105.160.89,80,71
47.105.149.151,80,72
47.105.160.244,80,72
47.105.161.190,80,72
47.105.156.192,80,72
47.105.161.130,80,72
47.105.135.49,80,73
47.105.147.52,80,73
223.203.0.14,8000,73
47.105.150.227,80,73
47.105.163.138,80,73
47.105.164.28,80,74
47.105.157.101,80,74
210.26.124.143,808,74
47.105.91.144,80,75
47.105.157.210,80,75
47.105.128.64,80,75
47.105.163.144,80,75
47.105.157.22,80,75
120.55.49.41,8080,75
47.105.159.46,80,75
47.105.161.216,80,75
47.105.151.223,80,76
